Sample_ID,Location,Station,Depth,Mean_Date,Mean_Depth,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI,OG.Shannon,OG.Richness,OG.Evenness,FC_heterotrophs,FC_autotrophs,FC_bacteria,FC_picoeukaryotes
ANW_142_640M,ANW,142,MES,10/01/12 16:43,634.8,9.8,35.2,108.2,31.9,0,1.22,20.25,8.62,7.33,20525,0.738,145742,0,145742,0
ANW_145_590M,ANW,145,MES,2/02/12 20:29,585.7,5.1,35,230.2,19.9,0.01,1.47,21.5,13.73,7.2,19418,0.729,54937,0,54937,0
ANW_146_640M,ANW,146,MES,16/02/12 14:53,633.3,11,35.4,138.1,21.8,0,1.31,20.03,13.24,7.15,18701,0.727,78074,0,78074,0
ANW_148_250M,ANW,148,MES,27/02/12 18:43,246.4,18.2,36.6,191.8,4,0.03,0.18,4.13,1.62,7.18,19854,0.726,174983,0,174983,0
ANW_149_740M,ANW,149,MES,1/03/12 20:06,734.3,10.6,35.4,155.2,21.3,0.01,1.36,21.11,11.38,7.16,19185,0.726,74179,0,74179,0
ANE_004_05M,ANE,4,SUR,15/09/09 10:15,10,20.5,36.6,NA,NA,NA,NA,NA,NA,7.15,14591,0.745,839531,54593,894124,1222
ANE_150_05M,ANE,150,SUR,5/03/12 11:02,5.5,17.6,36.3,228.4,-0.3,0.04,0.01,0.17,0.84,7.13,14688,0.743,514205,146022,660227,7940
ANE_151_05M,ANE,151,SUR,9/03/12 10:13,5.4,17.3,36.2,232.1,0.3,0.02,0.01,0.02,0.65,7.12,14772,0.742,377257,66886,444143,3569
ANE_152_05M,ANE,152,SUR,19/03/12 10:42,5.4,14.3,36,243.1,3,0.31,0.16,2.16,1.24,7.18,14843,0.748,555269,104028,659297,7551
ANE_004_40M,ANE,4,DCM,15/09/09 16:45,38.7,16.2,36.6,NA,NA,NA,NA,NA,NA,7.16,14607,0.747,1226212,56383,1282596,6890
ANE_150_40M,ANE,150,DCM,5/03/12 21:32,39.8,17.7,36.2,230.1,1.2,0.04,0,0.17,0.84,7.22,17444,0.739,579589,114413,694003,6137
ANE_151_80M,ANE,151,DCM,9/03/12 18:49,77.6,16.8,36.2,228.5,1.6,0.01,0.01,0.05,0.63,7.16,17701,0.732,259770,11716,271485,879
ANE_152_800M,ANE,152,MES,19/03/12 16:14,791.8,10.2,35.5,175.3,18.2,0.01,1.12,18.03,10.38,7.21,19541,0.73,83945,0,83945,0
