Sample Domain Phylum Class Order Family Genus Species
47 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
51 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
61 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
61 Bacteria Chloroflexota Dehalococcoidia SAR202 UBA826 UBA11996 UBA11996 sp002708495
61 Bacteria Chloroflexota Dehalococcoidia UBA2979 UBA2979 UBA2979  unclassified UBA2979
80 Bacteria Chloroflexota Dehalococcoidia UBA2979 UBA2979 UBA2979  unclassified UBA2979
23 Bacteria Chloroflexota Dehalococcoidia UBA2979 UBA2979 UBA2979  unclassified UBA2979
20 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
23 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
3 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
34 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
43 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
47 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
51 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
61 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
64 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
69 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
80 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
83 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
9 Bacteria Chloroflexota Dehalococcoidia UBA3495 UBA3495 UBA9611  unclassified UBA9611
47 Bacteria Chloroflexota Dehalococcoidia SAR202  unclassified SAR202  unclassified SAR202  unclassified SAR202
61 Bacteria Chloroflexota Dehalococcoidia SAR202  unclassified SAR202  unclassified SAR202  unclassified SAR202
80 Bacteria Chloroflexota Dehalococcoidia SAR202  unclassified SAR202  unclassified SAR202  unclassified SAR202
61 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopelagicus  unclassified Nitrosopelagicus
72 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopelagicus  unclassified Nitrosopelagicus
17 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopelagicus  unclassified Nitrosopelagicus
79 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopelagicus  unclassified Nitrosopelagicus
1 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
10 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
12 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
35 Archaea Crenarchaeota Nitrososphaeria Nitrososphaerales Nitrosopumilaceae Nitrosopumilus Nitrosopumilus sp002690535
