Sample Domain Phylum Class Order Family Genus Species
15 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
34 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
43 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
51 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
63 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
79 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
80 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145  unclassified UBA9145
61 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudohongiellaceae UBA9145 UBA9145 sp002694855
23 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089 UBA9659  unclassified UBA9659
34 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089 UBA9659  unclassified UBA9659
43 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089 UBA9659  unclassified UBA9659
35 Bacteria Proteobacteria Gammaproteobacteria Burkholderiales SG8-40  unclassified SG8-40  unclassified SG8-40
38 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
39 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
40 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
42 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
53 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
54 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
7 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
8 Bacteria Proteobacteria Alphaproteobacteria Pelagibacterales AG-422-B15  unclassified AG-422-B15  unclassified AG-422-B15
27 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
28 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
29 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
30 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
40 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
67 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
51 Bacteria Proteobacteria Alphaproteobacteria MC1  unclassified MC1  unclassified MC1  unclassified MC1
23 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
3 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
34 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
43 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
47 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
51 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
61 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
65 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
80 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
82 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
68 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
24 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
35 Bacteria Proteobacteria Gammaproteobacteria SAR86 SAR86  unclassified SAR86  unclassified SAR86
67 Bacteria Proteobacteria Gammaproteobacteria SAR86 D2472  unclassified D2472  unclassified D2472
77 Bacteria Proteobacteria Alphaproteobacteria Bin95 Bin95  unclassified Bin95  unclassified Bin95
23 Bacteria Proteobacteria Alphaproteobacteria UBA828 UBA828  unclassified UBA828  unclassified UBA828
60 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089  unclassified HTCC2089  unclassified HTCC2089
77 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089  unclassified HTCC2089  unclassified HTCC2089
79 Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales HTCC2089  unclassified HTCC2089  unclassified HTCC2089
20 Bacteria Proteobacteria Gammaproteobacteria UBA11654 UBA11654  unclassified UBA11654  unclassified UBA11654
61 Bacteria Proteobacteria Gammaproteobacteria UBA11654 UBA11654  unclassified UBA11654  unclassified UBA11654
64 Bacteria Proteobacteria Gammaproteobacteria UBA11654 UBA11654  unclassified UBA11654  unclassified UBA11654
38 Bacteria Proteobacteria Gammaproteobacteria SAR86 AG-339-G14  unclassified AG-339-G14  unclassified AG-339-G14
15 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
16 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
17 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
19 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
20 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
23 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
34 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
43 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
47 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
5 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
51 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp000213335
60 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
61 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
62 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
64 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
69 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
72 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
79 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7  unclassified Arctic96AD-7
80 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp002082305
83 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp000213335
9 Bacteria SAR324 SAR324 SAR324 NAC60-12 Arctic96AD-7 Arctic96AD-7 sp000213335
9 Bacteria SAR324 SAR324 SAR324 NAC60-12 UBA8110 UBA8110 sp002707655
9 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
44 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
65 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
76 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
78 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
79 Archaea Thermoplasmatota Poseidoniia MGIII CG-Epi1 CG-Epi1  unclassified CG-Epi1
77 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-K1  unclassified MGIIa-K1
79 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-K1  unclassified MGIIa-K1
48 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
52 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
30 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
50 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
57 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
82 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
60 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
66 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
74 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
77 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
26 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
24 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
12 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
24 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
29 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1 MGIIa-L1 sp9513u
30 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1 MGIIa-L1 sp9513u
11 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
25 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
26 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
27 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
28 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
29 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
30 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
33 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
49 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
58 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
74 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
77 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
82 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L1  unclassified MGIIa-L1
29 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L2  unclassified MGIIa-L2
30 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae MGIIa-L2  unclassified MGIIa-L2
20 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
23 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
34 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
43 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
47 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
51 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
61 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
69 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
80 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
83 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
9 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp8684u
1 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
13 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
14 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
4 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
44 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
59 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
62 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
65 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
76 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O1 MGIIb-O1 sp002497895
24 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2 MGIIb-O2 sp002498985
81 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2 MGIIb-O2 sp002498985
2 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
5 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
77 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
13 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
14 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
15 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
16 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
17 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
18 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
19 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
2 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
22 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
23 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
34 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
4 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
45 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
46 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
49 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
5 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
50 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
57 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
58 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
60 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
62 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
65 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
66 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
67 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
74 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
77 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
79 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
82 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
23 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O2  unclassified MGIIb-O2
1 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O3  unclassified MGIIb-O3
63 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O3  unclassified MGIIb-O3
1 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002506825
62 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002506825
65 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002506825
76 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002506825
78 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002506825
78 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-O5 MGIIb-O5 sp002496725
34 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-P  unclassified MGIIb-P
43 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-P  unclassified MGIIb-P
51 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-P  unclassified MGIIb-P
13 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae MGIIb-P  unclassified MGIIb-P
24 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae Poseidonia  unclassified Poseidonia
48 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae Poseidonia  unclassified Poseidonia
73 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae Poseidonia  unclassified Poseidonia
76 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae Poseidonia  unclassified Poseidonia
20 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
34 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
43 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
47 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
51 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
61 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
64 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
69 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
80 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
83 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
9 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum  unclassified Thalassarchaeum
72 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum Thalassarchaeum sp002495735
3 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum Thalassarchaeum sp002457605
61 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae Thalassarchaeum Thalassarchaeum sp002507125
48 Archaea Thermoplasmatota Poseidoniia Poseidoniales Poseidoniaceae  unclassified Poseidoniaceae  unclassified Poseidoniaceae
51 Archaea Thermoplasmatota Poseidoniia Poseidoniales Thalassoarchaeaceae  unclassified Thalassoarchaeaceae  unclassified Thalassoarchaeaceae
11 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 Arctic95D-9  unclassified Arctic95D-9
74 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 Arctic95D-9  unclassified Arctic95D-9
40 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
42 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
26 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
28 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
33 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
38 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
39 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
67 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
82 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
66 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae BACL24  unclassified BACL24
23 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
34 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
51 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
2 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
46 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
77 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales DEV007 EC70  unclassified EC70
42 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales Puniceicoccaceae GCA-2690565  unclassified GCA-2690565
60 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales MB11C04 GCA-2730975  unclassified GCA-2730975
79 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales MB11C04 GCA-2730975  unclassified GCA-2730975
9 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales MB11C04 GCA-2730975  unclassified GCA-2730975
41 Bacteria Verrucomicrobiota Verrucomicrobiae Opitutales MB11C04 MB11C04  unclassified MB11C04
47 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
51 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
61 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
64 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
80 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
83 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
46 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae Roseibacillus  unclassified Roseibacillus
33 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
39 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
40 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
42 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
67 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
74 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10 SW10 sp002729295
11 Bacteria Verrucomicrobiota Verrucomicrobiae Verrucomicrobiales Akkermansiaceae SW10  unclassified SW10
