Phylum,Function,Category,n,Completeness
Myxococcota,Sdha_FrdA,Respiration,1,59.64
Myxococcota,DsrA,Sulfur cycle,0,
Myxococcota,FCC,Sulfur cycle,0,
Myxococcota,SoxB,Sulfur cycle,0,
Myxococcota,Sqr,Sulfur cycle,0,
Myxococcota,CoxL,Trace gas metabolism,0,
Myxococcota,NiFe_hydrogenase,Trace gas metabolism,0,
Nitrospinota,ArsC,Alternative e acceptor,4,83.5725
Nitrospinota,RdhA,Alternative e acceptor,0,
Nitrospinota,Cyc2,Alternative e donor,0,
Nitrospinota,FdhA,Alternative e donor,0,
Nitrospinota,HbsT,Carbon fixation,0,
Nitrospinota,RbcL,Carbon fixation,0,
Nitrospinota,AmoA,Nitrogen cycle,0,
Nitrospinota,NapA,Nitrogen cycle,0,
Nitrospinota,NarG,Nitrogen cycle,0,
Nitrospinota,NifH,Nitrogen cycle,0,
Nitrospinota,NirK,Nitrogen cycle,0,
Nitrospinota,NorB,Nitrogen cycle,0,
Nitrospinota,NosZ,Nitrogen cycle,0,
Nitrospinota,PsaA,Phototrophy,0,
Nitrospinota,PsbA,Phototrophy,0,
Nitrospinota,RHO,Phototrophy,0,
Nitrospinota,AtpA,Respiration,6,74.90166667
Nitrospinota,CcoN,Respiration,0,
Nitrospinota,CoxA,Respiration,2,57.56
Nitrospinota,CydA,Respiration,0,
Nitrospinota,CyoA,Respiration,0,
Nitrospinota,NuoF,Respiration,6,74.90166667
Nitrospinota,Sdha_FrdA,Respiration,5,76.926
Nitrospinota,DsrA,Sulfur cycle,0,
Nitrospinota,FCC,Sulfur cycle,0,
Nitrospinota,SoxB,Sulfur cycle,0,
Nitrospinota,Sqr,Sulfur cycle,0,
Nitrospinota,CoxL,Trace gas metabolism,0,
Nitrospinota,NiFe_hydrogenase,Trace gas metabolism,0,
Planctomycetota,ArsC,Alternative e acceptor,8,84.7575
Planctomycetota,RdhA,Alternative e acceptor,0,
Planctomycetota,Cyc2,Alternative e donor,0,
Planctomycetota,FdhA,Alternative e donor,5,84.424
Planctomycetota,HbsT,Carbon fixation,0,
Planctomycetota,RbcL,Carbon fixation,0,
Planctomycetota,AmoA,Nitrogen cycle,0,
Planctomycetota,NapA,Nitrogen cycle,0,
Planctomycetota,NarG,Nitrogen cycle,0,
Planctomycetota,NifH,Nitrogen cycle,0,
Planctomycetota,NirK,Nitrogen cycle,0,
Planctomycetota,NorB,Nitrogen cycle,0,
Planctomycetota,NosZ,Nitrogen cycle,0,
Planctomycetota,PsaA,Phototrophy,0,
Planctomycetota,PsbA,Phototrophy,0,
Planctomycetota,RHO,Phototrophy,4,84.8825
Planctomycetota,AtpA,Respiration,16,77.609375
Planctomycetota,CcoN,Respiration,1,50.11
Planctomycetota,CoxA,Respiration,18,79.825
Planctomycetota,CydA,Respiration,0,
Planctomycetota,CyoA,Respiration,0,
Planctomycetota,NuoF,Respiration,1,74.5
Planctomycetota,Sdha_FrdA,Respiration,14,81.20928571
Planctomycetota,DsrA,Sulfur cycle,0,
Planctomycetota,FCC,Sulfur cycle,0,
Planctomycetota,SoxB,Sulfur cycle,0,
Planctomycetota,Sqr,Sulfur cycle,0,
Planctomycetota,CoxL,Trace gas metabolism,0,
Planctomycetota,NiFe_hydrogenase,Trace gas metabolism,0,
Proteobacteria,ArsC,Alternative e acceptor,222,76.96400901
Proteobacteria,RdhA,Alternative e acceptor,48,80.52395833
Proteobacteria,Cyc2,Alternative e donor,1,76.71
Proteobacteria,FdhA,Alternative e donor,218,80.07986239
Proteobacteria,HbsT,Carbon fixation,0,
Proteobacteria,RbcL,Carbon fixation,12,72.39083333
Proteobacteria,AmoA,Nitrogen cycle,0,
Proteobacteria,NapA,Nitrogen cycle,1,76.71
Proteobacteria,NarG,Nitrogen cycle,3,90.77
Proteobacteria,NifH,Nitrogen cycle,1,76.71
Proteobacteria,NirK,Nitrogen cycle,5,73.776
Proteobacteria,NorB,Nitrogen cycle,1,87.45
Proteobacteria,NosZ,Nitrogen cycle,1,88.31
Proteobacteria,PsaA,Phototrophy,2,75.91
Proteobacteria,PsbA,Phototrophy,71,81.59746479
Proteobacteria,RHO,Phototrophy,171,74.36099415
Proteobacteria,AtpA,Respiration,304,79.18944079
Proteobacteria,CcoN,Respiration,12,84.68166667
Proteobacteria,CoxA,Respiration,305,77.24593443
Proteobacteria,CydA,Respiration,8,82.8425
Proteobacteria,CyoA,Respiration,6,83.165
Proteobacteria,NuoF,Respiration,266,78.63101504
Proteobacteria,Sdha_FrdA,Respiration,331,77.36882175
Proteobacteria,DsrA,Sulfur cycle,37,80.40135135
Proteobacteria,FCC,Sulfur cycle,79,79.97670886
Proteobacteria,SoxB,Sulfur cycle,127,81.10677165
Proteobacteria,Sqr,Sulfur cycle,75,82.0416
Proteobacteria,CoxL,Trace gas metabolism,49,82.95102041
Proteobacteria,NiFe_hydrogenase,Trace gas metabolism,6,81.91833333
SAR324,ArsC,Alternative e acceptor,9,83.15555556
SAR324,RdhA,Alternative e acceptor,0,
SAR324,Cyc2,Alternative e donor,0,
SAR324,FdhA,Alternative e donor,10,74.913
SAR324,HbsT,Carbon fixation,0,
SAR324,RbcL,Carbon fixation,5,75.468
SAR324,AmoA,Nitrogen cycle,0,
SAR324,NapA,Nitrogen cycle,0,
SAR324,NarG,Nitrogen cycle,0,
SAR324,NifH,Nitrogen cycle,0,
SAR324,NirK,Nitrogen cycle,0,
SAR324,NorB,Nitrogen cycle,0,
SAR324,NosZ,Nitrogen cycle,0,
SAR324,PsaA,Phototrophy,0,
SAR324,PsbA,Phototrophy,0,
SAR324,RHO,Phototrophy,1,90.58
SAR324,AtpA,Respiration,9,76.21777778
SAR324,CcoN,Respiration,3,85.4
SAR324,CoxA,Respiration,7,74.09714286
SAR324,CydA,Respiration,0,
SAR324,CyoA,Respiration,0,
SAR324,NuoF,Respiration,0,
SAR324,Sdha_FrdA,Respiration,8,76.3225
SAR324,DsrA,Sulfur cycle,3,71.67333333
SAR324,FCC,Sulfur cycle,1,90.58
SAR324,SoxB,Sulfur cycle,0,
SAR324,Sqr,Sulfur cycle,0,
SAR324,CoxL,Trace gas metabolism,9,72.22222222
SAR324,NiFe_hydrogenase,Trace gas metabolism,0,
Thermoplasmatota,ArsC,Alternative e acceptor,0,
Thermoplasmatota,RdhA,Alternative e acceptor,0,
Thermoplasmatota,Cyc2,Alternative e donor,0,
Thermoplasmatota,FdhA,Alternative e donor,1,65.67
Thermoplasmatota,HbsT,Carbon fixation,0,
Thermoplasmatota,RbcL,Carbon fixation,0,
Thermoplasmatota,AmoA,Nitrogen cycle,1,80.84
Thermoplasmatota,NapA,Nitrogen cycle,0,
Thermoplasmatota,NarG,Nitrogen cycle,0,
Thermoplasmatota,NifH,Nitrogen cycle,0,
Thermoplasmatota,NirK,Nitrogen cycle,0,
Thermoplasmatota,NorB,Nitrogen cycle,0,
Thermoplasmatota,NosZ,Nitrogen cycle,0,
Thermoplasmatota,PsaA,Phototrophy,0,
Thermoplasmatota,PsbA,Phototrophy,0,
Thermoplasmatota,RHO,Phototrophy,77,75.68649351
Thermoplasmatota,AtpA,Respiration,108,73.22861111
Thermoplasmatota,CcoN,Respiration,0,
Thermoplasmatota,CoxA,Respiration,7,70.70428571
Thermoplasmatota,CydA,Respiration,0,
Thermoplasmatota,CyoA,Respiration,0,
Thermoplasmatota,NuoF,Respiration,0,
Thermoplasmatota,Sdha_FrdA,Respiration,112,73.64928571
Thermoplasmatota,DsrA,Sulfur cycle,0,
Thermoplasmatota,FCC,Sulfur cycle,0,
Thermoplasmatota,SoxB,Sulfur cycle,0,
Thermoplasmatota,Sqr,Sulfur cycle,0,
Thermoplasmatota,CoxL,Trace gas metabolism,0,
Thermoplasmatota,NiFe_hydrogenase,Trace gas metabolism,0,
Verrucomicrobiota,ArsC,Alternative e acceptor,38,83.59342105
Verrucomicrobiota,RdhA,Alternative e acceptor,0,
Verrucomicrobiota,Cyc2,Alternative e donor,0,
Verrucomicrobiota,FdhA,Alternative e donor,7,90.01428571
Verrucomicrobiota,HbsT,Carbon fixation,0,
Verrucomicrobiota,RbcL,Carbon fixation,0,
Verrucomicrobiota,AmoA,Nitrogen cycle,0,
Verrucomicrobiota,NapA,Nitrogen cycle,0,
Verrucomicrobiota,NarG,Nitrogen cycle,0,
Verrucomicrobiota,NifH,Nitrogen cycle,0,
Verrucomicrobiota,NirK,Nitrogen cycle,0,
Verrucomicrobiota,NorB,Nitrogen cycle,0,
Verrucomicrobiota,NosZ,Nitrogen cycle,0,
Verrucomicrobiota,PsaA,Phototrophy,0,
Verrucomicrobiota,PsbA,Phototrophy,0,
Verrucomicrobiota,RHO,Phototrophy,29,89.51827586
Verrucomicrobiota,AtpA,Respiration,69,83.81014493
Verrucomicrobiota,CcoN,Respiration,7,82.01571429
Verrucomicrobiota,CoxA,Respiration,18,90.09388889
Verrucomicrobiota,CydA,Respiration,0,
Verrucomicrobiota,CyoA,Respiration,0,
Verrucomicrobiota,NuoF,Respiration,76,86.06210526
Verrucomicrobiota,Sdha_FrdA,Respiration,75,86.64093333
Verrucomicrobiota,DsrA,Sulfur cycle,0,
Verrucomicrobiota,FCC,Sulfur cycle,0,
Verrucomicrobiota,SoxB,Sulfur cycle,0,
Verrucomicrobiota,Sqr,Sulfur cycle,0,
Verrucomicrobiota,CoxL,Trace gas metabolism,0,
Verrucomicrobiota,NiFe_hydrogenase,Trace gas metabolism,0,
