"","Domain","Phylum","Class","Order","Family","Genus","Species","Watermass"
"21_bin.33","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","SCGC-AAA160-P02","Genus_SCGC-AAA160-P02","STW"
"27_bin.24","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","SCGC-AAA160-P02","Genus_SCGC-AAA160-P02","SAW"
"12_bin.21","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","SCGC-AAA160-P02","Genus_SCGC-AAA160-P02","Neritic"
"7_bin.35","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","TMED14","Genus_TMED14","STW"
"71_bin.12","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","TMED14","Genus_TMED14","SAW"
"52_bin.21","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","STW"
"53_bin.29","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","SAW"
"12_bin.7","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","Neritic"
"21_bin.22","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","STW"
"24_bin.19","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","STW"
"25_bin.27","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","STW"
"56_bin.34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","STW"
"29_bin.27","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","UA16 sp002336085","SAW"
"30_bin.4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","UA16 sp002336085","SAW"
"33_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","UA16 sp002336085","SAW"
"29_bin.39","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","SAW"
"71_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","SAW"
"8_bin.1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UA16","Genus_UA16","SAW"
"12_bin.6","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","Neritic"
"25_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","STW"
"54_bin.9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","UBA10364 sp002387615","SAW"
"71_bin.8","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","UBA10364 sp002387615","SAW"
"24_bin.16","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","STW"
"35_bin.61","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","Neritic"
"36_bin.38","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","Neritic"
"37_bin.51","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","STW"
"67_bin.7","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","STW"
"70_bin.14","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","UBA10364","Genus_UBA10364","STW"
"29_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","SAW"
"30_bin.17","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","SAW"
"33_bin.34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","SAW"
"42_bin.38","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","SAW"
"24_bin.14","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","STW"
"56_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UA16","UBA11663","Genus_UBA11663","STW"
"24_bin.42","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","STW"
"26_bin.18","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","Front"
"38_bin.10","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","Front"
"39_bin.4","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","SAW"
"40_bin.24","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","SAW"
"41_bin.60","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","SAW"
"42_bin.17","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","SAW"
"46_bin.51","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","SAW"
"52_bin.3","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","STW"
"53_bin.14","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","SAW"
"54_bin.29","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","SAW"
"67_bin.11","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","STW"
"68_bin.22","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002684355","SAW"
"82_bin.10","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","Genus_UBA3537","SAW"
"74_bin.2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002709185","SAW"
"71_bin.20","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA3537","UBA3537 sp002725015","SAW"
"35_bin.45","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","Genus_UBA4466","Neritic"
"36_bin.75","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","Genus_UBA4466","Neritic"
"37_bin.23","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","Genus_UBA4466","STW"
"52_bin.9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","Genus_UBA4466","STW"
"70_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","Genus_UBA4466","STW"
"35_bin.59","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","Neritic"
"36_bin.22","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","Neritic"
"37_bin.48","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","STW"
"38_bin.44","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","Front"
"40_bin.28","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"41_bin.69","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"42_bin.33","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"52_bin.37","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","STW"
"53_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"54_bin.1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"71_bin.9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"74_bin.28","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"8_bin.7","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"24_bin.13","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","UBA7446 sp002862645","STW"
"35_bin.21","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","UBA7446 sp002862645","Neritic"
"36_bin.48","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","UBA7446 sp002862645","Neritic"
"70_bin.15","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","UBA7446 sp002862645","STW"
"8_bin.9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA7446","Genus_UBA7446","SAW"
"41_bin.2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","SAW"
"8_bin.24","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UBA8316","Genus_UBA8316","SAW"
