bin_ID,Sample,Watermass,Phylum,cluster
42_bin.38,42,SAW,Proteobacteria,clust3
12_bin.45,12,Neritic,Proteobacteria,clust3
35_bin.7,35,Neritic,Proteobacteria,clust3
33_bin.23,33,SAW,Proteobacteria,clust3
46_bin.36,46,SAW,Proteobacteria,clust3
23_bin.45,23,Deep,Proteobacteria,clust3
83_bin.23,83,Deep,Proteobacteria,clust3
54_bin.31,54,SAW,Proteobacteria,clust3
23_bin.48,23,Deep,Proteobacteria,clust3
40_bin.24,40,SAW,Proteobacteria,clust3
35_bin.45,35,Neritic,Proteobacteria,clust3
23_bin.55,23,Deep,Proteobacteria,clust3
6_bin.9,6,SAW,Proteobacteria,clust3
9_bin.24,9,Deep,Verrucomicrobiota,clust3
46_bin.26,46,SAW,Proteobacteria,clust3
39_bin.17,39,SAW,Proteobacteria,clust3
23_bin.40,23,Deep,Proteobacteria,clust3
51_bin.15,51,Deep,Proteobacteria,clust3
35_bin.67,35,Neritic,Proteobacteria,clust3
44_bin.11,44,STW,Proteobacteria,clust3
34_bin.45,34,Deep,Proteobacteria,clust3
29_bin.27,29,SAW,Proteobacteria,clust3
26_bin.31,26,Front,Proteobacteria,clust3
24_bin.14,24,STW,Proteobacteria,clust3
69_bin.7,69,Deep,Proteobacteria,clust3
62_bin.5,62,STW,SAR324,clust3
52_bin.9,52,STW,Proteobacteria,clust3
42_bin.17,42,SAW,Proteobacteria,clust3
30_bin.4,30,SAW,Proteobacteria,clust3
3_bin.7,3,Deep,Proteobacteria,clust3
23_bin.41,23,Deep,Proteobacteria,clust3
61_bin.37,61,Deep,Proteobacteria,clust3
9_bin.37,9,Deep,Verrucomicrobiota,clust3
23_bin.62,23,Deep,Proteobacteria,clust3
64_bin.26,64,Deep,Proteobacteria,clust3
20_bin.31,20,Deep,Proteobacteria,clust3
38_bin.58,38,Front,Proteobacteria,clust3
32_bin.2,32,STW,Proteobacteria,clust3
34_bin.14,34,Deep,Proteobacteria,clust3
18_bin.1,18,SAW,Verrucomicrobiota,clust3
42_bin.50,42,SAW,Verrucomicrobiota,clust3
80_bin.16,80,Deep,Proteobacteria,clust3
69_bin.23,69,Deep,Verrucomicrobiota,clust3
12_bin.24,12,Neritic,Proteobacteria,clust3
3_bin.11,3,Deep,Verrucomicrobiota,clust3
26_bin.18,26,Front,Proteobacteria,clust3
47_bin.38,47,Deep,Proteobacteria,clust3
51_bin.8,51,Deep,Proteobacteria,clust3
65_bin.22,65,STW,Proteobacteria,clust3
13_bin.8,13,STW,Proteobacteria,clust3
9_bin.45,9,Deep,Proteobacteria,clust3
67_bin.11,67,STW,Proteobacteria,clust3
1_bin.17,1,STW,Proteobacteria,clust3
65_bin.32,65,STW,Proteobacteria,clust3
39_bin.27,39,SAW,Proteobacteria,clust3
12_bin.21,12,Neritic,Proteobacteria,clust3
41_bin.6,41,SAW,Proteobacteria,clust3
3_bin.17,3,Deep,Proteobacteria,clust3
76_bin.16,76,STW,Proteobacteria,clust3
43_bin.24,43,Deep,Proteobacteria,clust3
80_bin.5,80,Deep,Proteobacteria,clust3
39_bin.10,39,SAW,Proteobacteria,clust3
41_bin.85,41,SAW,Proteobacteria,clust3
35_bin.31,35,Neritic,Proteobacteria,clust3
65_bin.17,65,STW,Proteobacteria,clust3
69_bin.12,69,Deep,Verrucomicrobiota,clust3
23_bin.21,23,Deep,Proteobacteria,clust3
34_bin.52,34,Deep,Proteobacteria,clust3
